,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US",mm,yyyy
828,2021M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,43999127,"ASRC CONSULTING & ENVIRONMENTAL SERVICES, LLC",OTHER,4.05,8,2021
832,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,54024.26,"INTERCONN RESOURCES, LLC",OTHER,3.28,10,2018
846,2021M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.11,9,2021
847,2016M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,3923.09,LIQUIGAS SPA,DEPT OF THE ARMY,2.79,8,2016
856,2016M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,13005.94,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,1.9,4,2016
861,2020M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,500,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,1.61,6,2020
873,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,19375,"SELDOVIA FUEL AND LUBE, INC.",OTHER,2.97,9,2016
877,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,46606.06,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.5,11,2016
896,2020M12,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,31550.75,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.54,12,2020
898,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,8688.95,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.76,12,2017
903,2021M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,440150,"A2D TECHNOLOGIES, INC.",OTHER,4.05,8,2021
904,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,42527.88,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.96,7,2017
905,2019M02,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"PAINTS, DOPES, VARNISHES, AND RELATED PRODUCTS",9746.4,"A.M.S. NETWORK, LLC",OTHER,2.72,2,2019
906,2017M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,506115.09,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.99,11,2017
920,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,450000,"SAGE ENERGY TRADING, LLC",OTHER,2.95,10,2016
934,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,55200,"AMERIGAS PROPANE, L.P.",OTHER,3.98,12,2018
941,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,5,2019
961,2018M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,5849.96,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.67,2,2018
963,2021M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.07,2,2021
967,2019M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,14380.23,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.65,4,2019
968,2019M11,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,278470.73,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.65,11,2019
969,2018M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"AMMUNITION, OVER 125MM",87720,"POLYMER TECHNOLOGIES, INC.",DEPT OF THE ARMY,2.8,5,2018
976,2016M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,5083.58,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.57,6,2016
978,2018M06,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",4925,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.95,6,2018
979,2021M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,18955,,DEPT OF THE ARMY,3.23,6,2021
985,2016M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,53269.24,"INTERSPEC, LLC",OTHER,1.92,5,2016
988,2021M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.56,3,2021
994,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,387460,"TWIN EAGLE RESOURCE MANAGEMENT, LLC",OTHER,3.12,5,2017
1002,2016M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",13251,HOOSIER EQUIPMENT SERVICE INC.,OTHER,2.5,11,2016
1011,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,188263.67,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.26,1,2017
1026,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,8446.24,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.96,9,2017
1043,2018M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,6433.14,"WEATHERFORD LABORATORIES, INC.",OTHER,2.95,6,2018
1044,2020M02,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,71345.77,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,1.92,2,2020
1046,2018M08,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",5075,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.96,8,2018
1056,2021M08,NATURAL GAS EXTRACTION,UTILITIES- GAS,10193.83,,DEPT OF THE ARMY,4.05,8,2021
1107,2018M01,NATURAL GAS EXTRACTION,"TECHNICAL REPRESENTATIVE- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",80.84,AGEDA KUCHO SHOKUHIN SETSUBI K.K.,OTHER,3.86,1,2018
1111,2017M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,150.78,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,3.12,5,2017
1113,2021M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,24750,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",5.11,9,2021
1122,2018M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2100,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.98,9,2018
1128,2019M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,16353.06,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.4,6,2019
1135,2018M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,129194.79,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.7,3,2018
1139,2018M10,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF CONFERENCE SPACE AND FACILITIES,13000,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.28,10,2018
1142,2017M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,159926.41,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,2.82,2,2017
1143,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.4,6,2019
1148,2017M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2342.6,ENERGAS SPA,DEPT OF THE ARMY,2.82,2,2017
1168,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",16081662.8,"USIBELLI COAL MINE, INC.",DEPT OF THE ARMY,2.86,10,2017
1170,2019M02,NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,12000,ATMOS ENERGY CORPORATION,OTHER,2.72,2,2019
1173,2018M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,18500,"AMERIGAS PROPANE, L.P.",OTHER,2.83,7,2018
1188,2016M03,NATURAL GAS LIQUID EXTRACTION,CHEMICALS,117000,"TV GUY ORLANDO, LLC",OTHER,1.7,3,2016
1189,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",14031800,"USIBELLI COAL MINE, INC.",DEPT OF THE AIR FORCE,2.86,10,2017
1194,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4800,"AMERIGAS PROPANE, L.P.",OTHER,2.4,6,2019
1202,2021M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.8,7,2021
1209,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,82895.42,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,1.92,5,2016
1214,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,4,2019
1215,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",2958.84,DETES BURO FUR DEPONIETECHNISCHE SYSTEME GMBH,DEPT OF THE ARMY,3.12,5,2017
1220,2019M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,32310.98,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,2.36,7,2019
1221,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196133.99,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.5,11,2016
1253,2020M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.75,5,2020
1261,2021M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.89,5,2021
1309,2018M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,13000,"AMERIGAS PROPANE, L.P.",OTHER,2.7,3,2018
1312,2021M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,PRESERVATIVE AND SEALING COMPOUNDS,7099.2,"A.M.S. NETWORK, LLC",OTHER,5.11,9,2021
1317,2017M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,3086.46,LIQUIGAS SPA,DEPT OF THE ARMY,2.82,2,2017
1322,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,4,2019
1324,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,14036,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.9,4,2016
1340,2018M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,483361.15,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,3.86,1,2018
1345,2020M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,2,2020
1359,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: EXPERT WITNESS,89374.9,"KBSEIS, LLC",OTHER,2.97,9,2016
1361,2021M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.11,9,2021
1371,2019M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.24,12,2019
1373,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,62093.51,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.92,5,2016
1378,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.58,9,2019
1380,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,107197.86,"SAGE ENERGY TRADING, LLC",OTHER,2.94,6,2017
1382,2019M06,NATURAL GAS EXTRACTION,UTILITIES- GAS,1742204.14,"TIGER NATURAL GAS, INC.",DEPT OF THE AIR FORCE,2.4,6,2019
1385,2020M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,19537.7,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.92,9,2020
1391,2016M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,150895.79,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.5,11,2016
1393,2021M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.07,2,2021
1395,2016M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,747.04,ENERGAS SPA,DEPT OF THE ARMY,2.97,9,2016
1398,2018M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,34744.04,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.95,6,2018
1400,2020M10,NATURAL GAS EXTRACTION,UTILITIES- OTHER,445857.28,"DIRECT ENERGY BUSINESS MARKETING, LLC",OTHER,2.25,10,2020
1403,2017M07,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",300,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.96,7,2017
1404,2021M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,12185.67,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.23,6,2021
1411,2020M02,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,206203.05,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,1.92,2,2020
1412,2019M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,34693.67,"INTERCONN RESOURCES, LLC",OTHER,2.33,10,2019
1414,2019M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,87013.42,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,2.36,7,2019
1418,2019M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,37141.05,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.33,10,2019
1427,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- OTHER,478435.8,BP ENERGY COMPANY,OTHER,2.95,10,2016
1429,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,33352.6,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.95,10,2016
1441,2020M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,7,2020
1443,2017M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,500,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.96,9,2017
1448,2020M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.79,3,2020
1453,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,770353.53,"DIRECT ENERGY BUSINESS MARKETING, LLC",OTHER,3.28,10,2018
1454,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,939406.89,"ENSPIRE ENERGY, LLC",OTHER,3.26,1,2017
1460,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,363000,"UGI ENERGY SERVICES, LLC",OTHER,2.25,10,2020
1461,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,7407.16,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.94,6,2017
1463,2018M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11288.46,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.98,12,2018
1464,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,55229.41,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.27,1,2016
1467,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,120000,"DRILLING INFO, INC.",OTHER,2.97,9,2016
1481,2020M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,QUALITY CONTROL- MISCELLANEOUS,19465,"CALIFORNIA HAZARDOUS SERVICES, INC.",OTHER,1.75,5,2020
1492,2019M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,285185.28,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE AIR FORCE,2.33,10,2019
1495,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,2056949.15,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.94,6,2017
1496,2020M11,NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",1164.24,BSE PERFORMANCE LLC,DEPT OF THE ARMY,2.59,11,2020
1506,2016M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,5475,THE FOURTH RIVER CO,OTHER,1.7,3,2016
1517,2019M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,11,2019
1523,2020M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,490,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.79,3,2020
1524,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",53589.23,NORTHERN ENERGY CORPORATION,OTHER,2.79,8,2016
1525,2018M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- LEAKING UNDERGROUND STORAGE TANK SUPPORT,5143.82,"PHOENIX INTEGRITY CONSULTANTS, LLC",OTHER,2.95,6,2018
1527,2021M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,980,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.56,3,2021
1531,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,7605,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.88,8,2017
1537,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NEWSPAPERS AND PERIODICALS,103912,"DRILLING INFO, INC.",OTHER,2.97,9,2016
1540,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,24648.21,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,3.26,1,2017
1541,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,127638,COMMOMWEALTH TANK INC,DEPT OF THE AIR FORCE,2.97,9,2016
1547,2016M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,51.97,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,1.9,4,2016
1549,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,51104.42,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.27,1,2016
1556,2017M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,7407.96,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.08,4,2017
1560,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,97819.75,"ENERGY WEST RESOURCES, INC",DEPT OF THE AIR FORCE,2.95,10,2016
1564,2020M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",5875,"LEEDS ENVIRONMENTAL SERVICES, LLC",OTHER,1.74,4,2020
1568,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,GASES: COMPRESSED AND LIQUEFIED,4944,KEEN COMPRESSED GAS CO,OTHER,2.27,1,2016
1570,2020M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.03,1,2020
1575,2018M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"FUELS, SOLID",577.27,MISCELLANEOUS FOREIGN AWARDEES,OTHER,2.98,9,2018
1583,2019M06,NATURAL GAS EXTRACTION,UTILITIES- GAS,66947.43,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,2.4,6,2019
1588,2021M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.61,4,2021
1590,2020M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,QUALITY CONTROL- MISCELLANEOUS,9920,"CALIFORNIA HAZARDOUS SERVICES, INC.",OTHER,2.3,8,2020
1591,2020M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; BASIC RESEARCH,260524,NATIONAL ACADEMY OF SCIENCES,OTHER,2.59,11,2020
1594,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
1601,2017M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,EQUIPMENT AND MATERIALS TESTING- CHEMICALS AND CHEMICAL PRODUCTS,2830,SOUTHERN CROSS CORP.,OTHER,2.99,11,2017
1612,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11628.1,ST GEORGE DELTA FUEL,OTHER,2.96,9,2017
1619,2021M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,12637.14,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.56,3,2021
1623,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,5349.4,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,2.58,9,2019
1627,2021M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,19500,"SUBURBAN PROPANE PARTNERS, L.P.",OTHER,4.05,8,2021
1634,2019M03,NATURAL GAS EXTRACTION,UTILITIES- GAS,235.86,MOUNTAINEER GAS COMPANY,OTHER,2.94,3,2019
1636,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,4,2019
1638,2021M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,25630,,DEPT OF THE ARMY,3.8,7,2021
1639,2021M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,67035.8,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,4.05,8,2021
1646,2020M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,50500,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,2.54,12,2020
1652,2017M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- OIL SPILL RESPONSE,14862.34,MARINE POLLUTION CONTROL CORPORATION,OTHER,2.96,9,2017
1657,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1098.65,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.86,10,2017
1659,2016M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,133295.66,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.95,10,2016
1665,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,161881.75,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,3.12,5,2017
1666,2016M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,3210.3,LIQUIGAS SPA,DEPT OF THE ARMY,1.92,5,2016
