total_obligated_amount,Month,product_or_service_code_description,naics_description,recipient_name,funding_sub_agency_name
1281.28,2020M05,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
8943.0,2016M02,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,HARRISON OILFIELD SERVICES INC,BUREAU OF LAND MANAGEMENT
37611.12,2017M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,NATIONAL PARK SERVICE
13500.0,2019M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
18076.6,2018M06,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
1717.68,2016M11,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,DRIVE LINE INC,DEFENSE LOGISTICS AGENCY
98.0,2019M02,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
24982.79,2017M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,U.S. FISH AND WILDLIFE SERVICE
21575.0,2018M04,"EQUIPMENT AND MATERIALS TESTING- FUELS, LUBRICANTS, OILS, AND WAXES",SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"BRIARWOOD CONTRACTORS, INC.",DEPT OF THE ARMY
5175.0,2016M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,WORLD ENVIRONMENTAL LLC,"VETERANS AFFAIRS, DEPARTMENT OF"
119.08,2016M12,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,LYNN ELECTRONICS CORP.,DEFENSE LOGISTICS AGENCY
305.4,2020M07,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"JERGENS, INC.",DEFENSE LOGISTICS AGENCY
14995.12,2021M03,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,AANTILIA LLC,NATIONAL INSTITUTES OF HEALTH
261000.0,2017M07,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,NEW EMPIRE AGGREGATE,BUREAU OF RECLAMATION
576647.6,2017M09,REPAIR OR ALTERATION OF SURFACE MINE RECLAMATION FACILITIES,CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"NORTH SLOPE CRUSHING, LLC",BUREAU OF RECLAMATION
56205.0,2016M12,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"JS SDVO, LLC",DEPT OF THE ARMY
1345.68,2021M09,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"TRANSAERO, INC.",DEFENSE LOGISTICS AGENCY
16421.43,2017M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"BOXLEY AGGREGATES OF WEST VIRGINIA, L.L.C.",FOREST SERVICE
46500.0,2018M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,FOREIGN AWARDEES (UNDISCLOSED),DEPT OF THE ARMY
15051.0,2021M06,"MINERALS, NATURAL AND SYNTHETIC",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"CALLENDER CONSTRUCTION COMPANY, INC.",U.S. FISH AND WILDLIFE SERVICE
11125.0,2016M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"ASPHALT CONSTRUCTORS, INC.",U.S. FISH AND WILDLIFE SERVICE
316.92,2018M06,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
11475.0,2018M01,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GRANITE CONSTRUCTION COMPANY,FOREST SERVICE
107.88,2019M01,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
20000.0,2019M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
627.0,2016M09,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"HERNDON PRODUCTS, LLC",DEFENSE LOGISTICS AGENCY
850.0,2021M06,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,LEE AIR COMPANY INC,DEFENSE LOGISTICS AGENCY
187.0,2016M12,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
12865.0,2019M07,PEST CONTROL AGENTS AND DISINFECTANTS,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,"CAIN BICKLEY CHEMICALS, LLC",AGRICULTURAL RESEARCH SERVICE
0.0,2019M11,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,FPA PACIFIC CORP,FEDERAL EMERGENCY MANAGEMENT AGENCY
19774.0,2021M09,CHEMICALS,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,TAMBOR QUIMICO,DEPT OF THE ARMY
208971.0,2021M09,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"CONTINENTAL INDUSTRIES FIELD SERVICES, LLC",BUREAU OF LAND MANAGEMENT
33727.5,2016M08,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"TARPAN CONSTRUCTION, LLC",DEPT OF THE ARMY
18859.35,2020M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"GULF HOLDINGS, LLC",BUREAU OF LAND MANAGEMENT
226.95,2017M04,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
110.14,2018M07,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2017M04,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"INTERCONN RESOURCES, LLC",DEFENSE LOGISTICS AGENCY
19305.89,2017M12,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,SUNROC CORPORATION,NATIONAL PARK SERVICE
20359.2,2021M07,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,YORKSHIRE INDUSTRIES LLC,DEPT OF THE ARMY
16462.89,2021M07,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER WAREHOUSE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
276750.0,2018M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"KRAEMER COMPANY, LLC, THE",DEPT OF THE ARMY
588.81,2017M06,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,TRIMAN INDUSTRIES INC,DEFENSE LOGISTICS AGENCY
0.0,2020M01,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
20000.0,2019M12,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
19472.65,2020M09,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
560.56,2018M10,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
42625.0,2017M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"DAD'S ENTERPRISES, INC.",FOREST SERVICE
51721.52,2017M04,CONSTRUCTION OF OTHER UTILITIES,CONSTRUCTION SAND AND GRAVEL MINING,INGENIERIA SERVIN C.A.,"STATE, DEPARTMENT OF"
20314.8,2017M08,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"CROWLEY HOLDINGS, LLC",NATIONAL PARK SERVICE
34396.17,2019M12,UTILITIES- GAS,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"TIGER NATURAL GAS, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
328.24,2020M05,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
98.0,2019M03,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
138489.4,2021M02,"MINERALS, NATURAL AND SYNTHETIC",OTHER CHEMICAL AND FERTILIZER MINERAL MINING,"PALA WOOD SERVICES COMPANY, INC.",DEPT OF THE ARMY
12133.65,2020M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,STRATA CORPORATION,"ENERGY, DEPARTMENT OF"
10337.59,2016M04,MISCELLANEOUS PREFABRICATED STRUCTURES,CONSTRUCTION SAND AND GRAVEL MINING,CENTRAL PRE-MIX CONCRETE CO.,FOREST SERVICE
57870.0,2019M06,R&D- MINING: SUBSURFACE MINING METHODS (BASIC RESEARCH),SUPPORT ACTIVITIES FOR COAL MINING,"L. J. HUGHES & SONS, INC.",CENTERS FOR DISEASE CONTROL AND PREVENTION
19576.83,2020M04,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY
4573.22,2017M06,"DISKS AND STONES, ABRASIVE",ALL OTHER NONMETALLIC MINERAL MINING,"KITAMURA SHOKAI, CO.,LTD.",DEPT OF THE NAVY
5733.63,2017M05,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"HYDRAULICS INTERNATIONAL, INC.",DEFENSE LOGISTICS AGENCY
50000.0,2021M08,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"DRILLING INFO, INC.",NATIONAL PARK SERVICE
150960.08,2019M02,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
15000.0,2017M11,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
50413.03,2018M01,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE
0.0,2017M11,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
966.0,2016M04,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,LANZEN FABRICATING INC,DEFENSE LOGISTICS AGENCY
169700.0,2021M08,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,CLIFFSIDE REFINERS L P,BUREAU OF LAND MANAGEMENT
20000.0,2020M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
101261.76,2020M01,MISCELLANEOUS CONSTRUCTION MATERIALS,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"NORTHWEST ROCK, INC.",DEPT OF THE ARMY
2618.0,2021M05,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,GASKETS ORINGS RUBBER INC,DEFENSE LOGISTICS AGENCY
88914.75,2019M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
20523.84,2021M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,AMERICAN CLASSIC CONSTRUCTION INC.,U.S. FISH AND WILDLIFE SERVICE
1067.2,2019M02,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
18762.78,2016M03,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
3536.0,2017M04,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"ARKWIN INDUSTRIES, INC.",DEFENSE LOGISTICS AGENCY
7390.0,2016M10,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
0.0,2021M08,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
588.0,2018M07,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,KLX AEROSPACE SOLUTIONS DEFENSE LLC,DEFENSE LOGISTICS AGENCY
1880.97,2020M12,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
285000.0,2016M07,R&D- ENERGY: PETROLEUM (BASIC RESEARCH),SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,BOURGOYNE ENGINEERING LLC,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT
24936.0,2018M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
0.0,2018M12,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,ORLOTRONICS CORPORATION,DEFENSE LOGISTICS AGENCY
2670.34,2017M05,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"PRECISION ELECTRONICS, INC.",DEFENSE LOGISTICS AGENCY
3276.55,2018M11,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,GENERAL DYNAMICS LAND SYSTEMS - CANADA CORPORATION,DEFENSE LOGISTICS AGENCY
9480.02,2018M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,JOHNSON'S READY MIX CONCRETE PRODUCTS INC,DEPT OF THE ARMY
417.83,2018M03,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,C CROUTHAMEL & CO INC,DEFENSE LOGISTICS AGENCY
0.0,2021M06,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
101004.37,2019M06,UTILITIES- GAS,NATURAL GAS EXTRACTION,"CENTERPOINT ENERGY SERVICES, INC.","VETERANS AFFAIRS, DEPARTMENT OF"
247500.0,2017M03,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"EDSTROM CONSTRUCTION, INC.",NATIONAL PARK SERVICE
26330.13,2016M09,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE
9635.0,2019M06,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,"M. E. LATULIPPE CONSTRUCTION, INC.",FOREST SERVICE
298000.0,2021M06,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,NEW EMPIRE AGGREGATE,BUREAU OF RECLAMATION
832.0,2018M12,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,GOVPARTS LLC,DEFENSE LOGISTICS AGENCY
1634.3,2016M03,O-RING,SUPPORT ACTIVITIES FOR COAL MINING,"T & L SALES, LLC",DEFENSE LOGISTICS AGENCY
40170.0,2021M07,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,DELA TECHNOLOGY CORPORATION,DEFENSE LOGISTICS AGENCY
53264.32,2020M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,SAUDI NAVAL SUPPORT CO,DEPT OF THE AIR FORCE
1660.0,2016M06,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
0.0,2020M05,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,PROGAS GESELLSCHAFT MIT BESCHRANKTER HAFTUNG & CO. KOMMANDITGESELLSCHAFT,DEPT OF THE AIR FORCE
1336.5,2018M11,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,PEMD GROUP INC,DEFENSE LOGISTICS AGENCY
14694.0,2018M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"ROCKSLIDE MATERIALS, INC",NATIONAL PARK SERVICE
98.0,2018M12,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
3950.0,2020M08,"MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT LAUNCHING, LANDING, AND GROUND HANDLING EQUIPMENT",SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"CITI APPROVED ENTERPRISE, LLC",U.S. COAST GUARD
0.0,2017M09,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",CONSTRUCTION SAND AND GRAVEL MINING,"ASH GROVE AGGREGATES, INC.",DEPT OF THE ARMY
96.25,2016M06,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,HOWCO DISTRIBUTING CO.,DEFENSE LOGISTICS AGENCY
4632.0,2017M05,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,W R JACKSON EXCAVATING LLC,FOREST SERVICE
10547.2,2017M06,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,NATIONAL PARK SERVICE
15885.0,2020M12,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",DEFENSE LOGISTICS AGENCY
14754.88,2019M05,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
10214.96,2021M01,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
2777.25,2017M05,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"PONSKI, BOGDAN M",DEFENSE LOGISTICS AGENCY
0.0,2017M09,MISCELLANEOUS CONSTRUCTION MATERIALS,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"KAPPA CONSTRUCTION, INC",U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
2145.7,2020M06,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,ELECTRIC BOAT CORPORATION,DEFENSE LOGISTICS AGENCY
1710.76,2020M04,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,DEFENSE LOGISTICS AGENCY
19989.0,2018M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"F. S. ROD, INC","VETERANS AFFAIRS, DEPARTMENT OF"
297.0,2019M02,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,TALON AIR,DEFENSE LOGISTICS AGENCY
369.74,2017M10,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
1827.84,2018M09,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,GASKETS ORINGS RUBBER INC,DEFENSE LOGISTICS AGENCY
98.0,2020M07,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
16247.0,2019M09,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
178589.76,2016M11,"MINERALS, NATURAL AND SYNTHETIC",OTHER CHEMICAL AND FERTILIZER MINERAL MINING,MGB CONTRACTING LLC,"VETERANS AFFAIRS, DEPARTMENT OF"
13600.0,2016M11,MISCELLANEOUS SERVICE AND TRADE EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,FOREIGN AWARDEES (UNDISCLOSED),DEPT OF THE ARMY
85.5,2016M09,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,HOWCO DISTRIBUTING CO.,DEFENSE LOGISTICS AGENCY
686000.0,2017M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
170000.0,2019M04,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,FOREIGN AWARDEES (UNDISCLOSED),DEPT OF THE ARMY
112356.75,2021M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"CROWLEY HOLDINGS, LLC",U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
201.5,2019M11,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"NEW ENTERPRISE STONE & LIME CO., INC.",DEPT OF THE ARMY
6120.0,2016M04,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"CM MANUFACTURING, INC.",DEFENSE LOGISTICS AGENCY
0.0,2020M09,"LEASE OR RENTAL OF EQUIPMENT- CONSTRUCTION, MINING, EXCAVATING, AND HIGHWAY MAINTENANCE EQUIPMENT",SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"KERN STEEL FABRICATION, INC.",US GEOLOGICAL SURVEY
14214.0,2016M02,"HARDWARE, COMMERCIAL",CONSTRUCTION SAND AND GRAVEL MINING,GOVERNMENT MLO SUPPLIES USA INC,NATIONAL INSTITUTES OF HEALTH
73076.55,2016M11,MISCELLANEOUS SERVICE AND TRADE EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,FOREIGN AWARDEES (UNDISCLOSED),DEPT OF THE ARMY
667.0,2019M03,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
9750.0,2017M03,"MINERALS, NATURAL AND SYNTHETIC",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,RENO ROCK TRANSPORT LLC,DEPT OF THE ARMY
0.0,2017M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,SCOTTY'S CONTRACTING & STONE LLC,DEPT OF THE ARMY
18784.0,2016M11,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"NEW ENTERPRISE STONE & LIME CO., INC.",DEPT OF THE ARMY
137.1,2018M06,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
96030.0,2020M04,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,STONE SAND CO INC,DEPT OF THE ARMY
132.0,2017M09,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,R WAY GASKET & SUPPLY COMPANY INC,DEFENSE LOGISTICS AGENCY
98.0,2019M01,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
98.0,2020M09,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
